Query,Expected_JSON,Final_JSON,Test_Result,Agent_Processing_Time_s
add python and java,"{""keywords"":[""Python"",""Java""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Python"",""Java""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,43.511
increase experience by 5 years,"{""keywords"":[],""min_experience"":0,""max_experience"":15,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[],""min_experience"":0.0,""max_experience"":15.0,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,44.817
add bangalore location,"{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Bangalore""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Bangalore""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,43.085
set salary range 10-20 lpa,"{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":10,""max_salary"":20,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":10.0,""max_salary"":20.0,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,45.193
add similar skills to java,"{""keywords"":[""Spring Boot"",""Spring"",""Hibernate"",""Microservices"",""Spring MVC""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Spring Boot"",""Spring"",""Hibernate"",""Microservices"",""Spring MVC""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,31.463
similar titles to software engineer,"{""keywords"":[""Senior Software Engineer"",""Software Developer"",""Senior Software Developer"",""Software Development Engineer 2"",""Software Engineer 2"",""Spring Boot"",""Java""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Senior Software Engineer"",""Software Developer"",""Senior Software Developer"",""Software Development Engineer 2"",""Software Engineer 2"",""Spring Boot"",""Java""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,26.225
nearby locations to mumbai,"{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Mumbai Suburbs"",""Dohad"",""Navi Mumbai"",""Thane"",""Location_1574714""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Mumbai Suburbs"",""Dohad"",""Navi Mumbai"",""Thane"",""Location_1574714""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,31.201
relax my query,"{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,35.623
similar titles for Designer,"{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,25.113
refine my query,"{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,30.188
find similar skills to python and set experience 5+ years,"{""keywords"":[""Django"",""Machine Learning"",""Flask"",""Pyspark"",""Natural Language Processing""],""min_experience"":5,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Django"",""Machine Learning"",""Flask"",""Pyspark"",""Natural Language Processing""],""min_experience"":5.0,""max_experience"":10.0,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,53.270
similar titles to data scientist from nearby to bangalore,"{""keywords"":[""Senior Data Scientist"",""Lead Data Scientist"",""Data Scientist Associate"",""Data Science Manager"",""Data Science Consultant"",""Natural Language Processing"",""Deep Learning""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Anekal"",""Bangalore Rural"",""Devanahalli"",""Hosur"",""Magadi""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Senior Data Scientist"",""Lead Data Scientist"",""Data Scientist Associate"",""Data Science Manager"",""Data Science Consultant"",""Natural Language Processing"",""Deep Learning""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Anekal"",""Bangalore Rural"",""Devanahalli"",""Hosur"",""Magadi""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,37.769
expand skills to java and add nearby cities to mumbai,"{""keywords"":[""Spring Boot"",""Spring"",""Hibernate"",""Microservices"",""Spring MVC""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Mumbai Suburbs"",""Dohad"",""Navi Mumbai"",""Thane"",""Location_1574714""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Spring Boot"",""Spring"",""Hibernate"",""Microservices"",""Spring MVC""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Mumbai Suburbs"",""Dohad"",""Navi Mumbai"",""Thane"",""Location_1574714""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,36.478
"find titles similar to software engineer and add relevant skills, from nearby noida","{""keywords"":[""Senior Software Engineer"",""Software Developer"",""Senior Software Developer"",""Software Development Engineer 2"",""Software Engineer 2"",""Spring Boot"",""Java""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Delhi"",""Location_382"",""Ghaziabad"",""Faridabad"",""Greater Noida""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Senior Software Engineer"",""Software Developer"",""Senior Software Developer"",""Software Development Engineer 2"",""Software Engineer 2"",""Spring Boot"",""Java""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Delhi"",""Location_382"",""Ghaziabad"",""Faridabad"",""Greater Noida""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,218.839
get titles similar to frontend developer and set salary 8-15 lpa,"{""keywords"":[""React"",""JavaScript"",""CSS""],""min_experience"":0,""max_experience"":10,""min_salary"":8,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""React"",""JavaScript"",""CSS""],""min_experience"":0,""max_experience"":10,""min_salary"":8.0,""max_salary"":15.0,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,96.448
find similar titles to software engineer from nearby Chennai and increase experience by 5 years,"{""keywords"":[],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Senior Software Engineer"",""Software Developer"",""Senior Software Developer"",""Software Development Engineer 2"",""Software Engineer 2"",""Spring Boot"",""Java""],""min_experience"":0.0,""max_experience"":15.0,""min_salary"":0,""max_salary"":15,""current_cities"":[""Chitoor"",""Ambattur"",""Poonamallee"",""Tambaram"",""Ponneri""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",FAIL,120.402
expand python skills and add 3+ years experience,"{""keywords"":[""Django"",""Machine Learning"",""Flask"",""Pyspark"",""Natural Language Processing""],""min_experience"":3,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Django"",""Machine Learning"",""Flask"",""Pyspark"",""Natural Language Processing""],""min_experience"":3.0,""max_experience"":10.0,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,59.365
"find nearby locations to goa and add devops skills, and refine my query","{""keywords"":[""DevOps""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""South Goa"",""Margao"",""Sanguem"",""Satari"",""Bicholim""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""DevOps""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""South Goa"",""Margao"",""Sanguem"",""Satari"",""Bicholim""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,105.312
get related skills to machine learning from nearby locations to bangalore and relax my query,"{""keywords"":[""Natural Language Processing"",""Deep Learning"",""Data Science"",""Artificial Intelligence"",""Neural Networks""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Anekal"",""Bangalore Rural"",""Devanahalli"",""Hosur"",""Magadi""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Natural Language Processing"",""Deep Learning"",""Data Science"",""Artificial Intelligence"",""Neural Networks""],""min_experience"":0,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[""Anekal"",""Bangalore Rural"",""Devanahalli"",""Hosur"",""Magadi""],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,55.040
find similar roles to product manager and set experience 5-10 years,"{""keywords"":[""Senior Product Manager"",""Group Product Manager"",""Associate Product Manager"",""Lead Product Manager"",""Product Manager 2"",""Product Management"",""Product Strategy""],""min_experience"":5,""max_experience"":10,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}","{""keywords"":[""Senior Product Manager"",""Group Product Manager"",""Associate Product Manager"",""Lead Product Manager"",""Product Manager 2"",""Product Management"",""Product Strategy""],""min_experience"":5.0,""max_experience"":10.0,""min_salary"":0,""max_salary"":15,""current_cities"":[],""preferred_cities"":[],""total_results"":0,""search_executed"":false}",PASS,58.854
